user,credit_record_status,job_yrs,home_type,loan_months,age,marital_status,job_type,debt,loan_amt,price_of_good
PapaSaan,GOOD,9,RENT,60,30,MARRIED,FREELANCE,0,800,846
Higurashi2367,GOOD,1,RENT,48,27,SINGLE,FIXED,0,850,1000
avidnessss,GOOD,15,OWNER,48,60,MARRIED,FIXED,0,450,1188
fannie_music,BAD,0,OWNER,60,42,MARRIED,FIXED,0,1300,1750
jarsofstars,GOOD,14,RENT,60,46,MARRIED,FREELANCE,0,1500,2250
bee_tee,BAD,6,OWNER,24,23,SINGLE,FIXED,0,250,250
MarcyPolanco,BAD,2,OWNER,48,28,WIDOW,FREELANCE,0,1000,1100
Scott_Ember,GOOD,20,OWNER,60,62,MARRIED,FREELANCE,0,1300,1371
easuncion,GOOD,4,RENT,48,28,SINGLE,FIXED,0,750,954
hayleythurman,GOOD,2,RENT,36,31,SINGLE,FREELANCE,0,525,800
YokisToquis,GOOD,21,OWNER,60,45,WIDOW,FIXED,0,650,1584
InfernoJJ,BAD,2,RENT,18,38,MARRIED,PARTTIME,0,300,400
kvandenhoek,GOOD,12,RENT,60,36,MARRIED,FIXED,0,1200,1823
dahlshouse,BAD,14,RENT,36,43,MARRIED,FIXED,0,600,750
careoh,GOOD,21,RENT,36,42,WIDOW,FIXED,0,850,950
srikanth2961,GOOD,1,OWNER,60,20,SINGLE,FIXED,0,850,1618
KVHightower,GOOD,2,RENT,60,30,MARRIED,FIXED,0,1300,1525
PZCherokee,GOOD,2,RENT,48,31,SINGLE,FIXED,0,800,900
celloismistic,BAD,0,RENT,60,28,MARRIED,FIXED,0,1100,1168
marycrap,BAD,1,OWNER,12,26,SINGLE,PARTTIME,0,190,693
killer_queen_kl,GOOD,0,RENT,48,23,SINGLE,FREELANCE,0,550,550
kraterface71,GOOD,1,RENT,60,35,WIDOW,FIXED,0,1250,1400
courtney_weldon,BAD,2,OWNER,24,37,MARRIED,FREELANCE,0,1000,1795
cori_09,GOOD,1,OWNER,48,40,MARRIED,FIXED,0,1320,1600
dearbailey,GOOD,3,RENT,36,23,MARRIED,PARTTIME,0,600,650
Mwissa,GOOD,1,OWNER,48,22,SINGLE,FIXED,0,1575,2082
kilionaACU,GOOD,7,OWNER,60,26,MARRIED,FIXED,0,1400,1531
Xtrip,GOOD,1,OWNER,60,23,SINGLE,PARTTIME,0,1050,1190
hanaramirez,GOOD,7,OWNER,60,27,MARRIED,FREELANCE,0,1500,1800
narick29,GOOD,13,RENT,60,36,MARRIED,FIXED,0,1200,1271
apreddy,GOOD,15,OWNER,24,46,MARRIED,FIXED,0,1000,1923
CutieCrissi17,BAD,0,RENT,24,30,MARRIED,PARTTIME,0,500,650
doris12,GOOD,5,RENT,60,37,MARRIED,FIXED,0,1800,2450
dodiesrock,GOOD,2,OWNER,36,20,SINGLE,FREELANCE,0,1000,1310
DavidGrauman,BAD,1,RENT,48,41,MARRIED,PARTTIME,0,1070,1378
eyetease,GOOD,2,OWNER,48,25,MARRIED,FREELANCE,0,1000,1300
ltcnunez,GOOD,3,OWNER,60,25,SINGLE,FIXED,0,1000,1252
Suprbadgurl85,BAD,2,OWNER,60,34,SINGLE,PARTTIME,0,1250,1293
LarryOsborne,GOOD,2,OWNER,24,26,SINGLE,FIXED,0,590,894
joierawr,GOOD,22,RENT,36,51,SINGLE,FREELANCE,0,350,950
scratchback2001,BAD,2,RENT,48,37,WIDOW,FREELANCE,0,2000,3900
LeilaRogers,BAD,13,RENT,60,50,SINGLE,FIXED,0,800,865
Kanne0729,GOOD,17,OWNER,60,46,MARRIED,FIXED,0,2000,2086
waffles93,BAD,0,OWNER,36,35,MARRIED,FREELANCE,0,1450,1500
J_Rod709,GOOD,20,RENT,24,40,MARRIED,FIXED,0,500,1532
Virginia83,GOOD,6,RENT,36,31,WIDOW,FIXED,0,550,999
MARCUSdH,GOOD,26,RENT,60,50,MARRIED,FIXED,0,1000,1297
p_communiceert,BAD,1,OWNER,24,23,SINGLE,PARTTIME,0,500,640
thamzzhie,GOOD,5,OWNER,60,21,SINGLE,FIXED,0,1400,2067
KGM28,GOOD,10,RENT,36,46,MARRIED,FIXED,0,500,1531
Deryos,BAD,1,OWNER,60,36,MARRIED,PARTTIME,0,1400,1612
Jeremy_Rees,GOOD,3,RENT,36,20,SINGLE,PARTTIME,0,1500,2050
Shonaa_x,GOOD,38,RENT,12,66,MARRIED,FIXED,0,700,1568
smilebabeee,GOOD,10,RENT,60,38,MARRIED,FIXED,0,1500,1531
nkavassalis,BAD,20,RENT,48,45,SINGLE,FREELANCE,0,900,1300
bclind,GOOD,20,OWNER,48,37,SINGLE,FIXED,0,1200,2472
amorae,GOOD,3,RENT,48,32,MARRIED,FIXED,0,1200,1952
sisterofmark,BAD,10,RENT,36,40,MARRIED,FIXED,0,375,375
agberben,GOOD,22,RENT,60,47,MARRIED,FIXED,0,1000,1163
AtTheM1L1N,GOOD,10,RENT,48,33,MARRIED,FIXED,0,950,1541
Godsmercy86,GOOD,0,OWNER,24,29,SINGLE,FREELANCE,0,600,1243
Sh3ilaMari389,BAD,1,OWNER,48,28,MARRIED,FIXED,0,1300,1608
ShyeLynn_15,GOOD,4,RENT,60,25,SINGLE,FIXED,0,1500,2600
cait_williamson,BAD,7,OWNER,60,24,SINGLE,FIXED,0,1618,1618
khanoome_irooni,BAD,3,OWNER,60,41,SINGLE,FIXED,0,949,949
ls0812,GOOD,3,OWNER,24,29,SINGLE,FIXED,0,300,525
Angie_su,GOOD,10,RENT,48,28,MARRIED,FIXED,0,1100,1684
willlane56,GOOD,1,RENT,24,24,MARRIED,PARTTIME,0,350,400
chrissy_dt,GOOD,1,OWNER,60,24,SINGLE,FIXED,0,800,994
princessnareh,BAD,2,RENT,36,23,SINGLE,FIXED,0,900,1000
wallflowerz,BAD,2,OWNER,36,39,MARRIED,FIXED,0,2000,2300
Cassiedog,BAD,0,OWNER,36,22,SINGLE,FIXED,0,800,800
poetry_lady,BAD,0,RENT,18,24,SINGLE,PARTTIME,0,300,460
CamiColombo,BAD,5,OWNER,60,42,MARRIED,FIXED,0,1000,1067
vanessaysc,BAD,8,RENT,60,58,MARRIED,FIXED,0,1400,1996
maliksb00,GOOD,4,RENT,60,34,MARRIED,PARTTIME,0,800,1293
Lousheila,GOOD,12,OWNER,36,41,SINGLE,FIXED,0,500,1600
gol10dr,BAD,8,RENT,24,30,MARRIED,FREELANCE,0,450,600
KiraKiraStudio,GOOD,6,RENT,48,34,MARRIED,FIXED,0,1150,1400
MSSHAD_E,BAD,1,OWNER,60,24,SINGLE,FIXED,0,1750,1750
weeze04,BAD,1,RENT,60,55,MARRIED,FIXED,0,2500,2860
ExBabiix3,BAD,0,RENT,60,33,MARRIED,FREELANCE,0,1150,1760
GoinBarefoot,BAD,1,OWNER,48,32,MARRIED,FIXED,0,2000,2580
savi24,BAD,6,RENT,60,31,MARRIED,FIXED,0,1150,1736
mikeri0506,GOOD,3,RENT,48,33,MARRIED,FREELANCE,0,900,1041
KelBrett,BAD,2,OWNER,48,20,SINGLE,FIXED,0,900,1022
djfreeksh0w,BAD,4,OWNER,48,41,MARRIED,FREELANCE,0,1000,1250
cruijff,GOOD,3,RENT,48,36,MARRIED,FIXED,0,350,1526
TaylorWayland,GOOD,1,OWNER,36,29,SINGLE,FIXED,0,700,1018
lemonseal,GOOD,2,OWNER,36,22,SINGLE,FIXED,0,800,1762
i_love_adam,BAD,15,RENT,60,39,MARRIED,FIXED,0,1450,1450
NoraLena,BAD,2,RENT,60,39,MARRIED,FIXED,0,1500,1967
LessThanMikayla,GOOD,2,RENT,60,30,MARRIED,FIXED,0,950,1175
iKeitho,BAD,0,OWNER,48,26,SINGLE,FIXED,0,1100,1100
gibbs831,GOOD,14,RENT,36,32,MARRIED,FIXED,0,550,750
omgxitstrish,GOOD,14,RENT,48,28,MARRIED,FIXED,0,1450,1474
Natalioth,GOOD,0,OWNER,36,27,MARRIED,FREELANCE,0,600,900
rhi1978,BAD,1,RENT,60,21,SINGLE,PARTTIME,0,850,930
smalltowngirl85,BAD,1,OWNER,36,25,SINGLE,PARTTIME,0,600,1415
ccloren,GOOD,12,OWNER,36,30,SINGLE,FIXED,0,600,1206
Amzz86,GOOD,1,OWNER,30,22,SINGLE,FIXED,0,775,1100
il0veLA_steph,GOOD,12,RENT,18,27,MARRIED,FIXED,0,100,675
clarissakirby,GOOD,20,RENT,24,40,MARRIED,FIXED,0,350,350
roguestates,BAD,2,RENT,60,54,MARRIED,FIXED,0,1700,1700
pseudo_mafia,BAD,2,RENT,36,29,SINGLE,FREELANCE,0,1000,1600
ratattak,GOOD,4,OWNER,60,32,SINGLE,FIXED,0,700,2061
bearynice5,GOOD,5,OWNER,48,28,MARRIED,FIXED,0,1100,1537
meggy1987,GOOD,7,RENT,24,32,SINGLE,FREELANCE,0,2000,3400
Habibti812,GOOD,1,RENT,60,23,MARRIED,FIXED,0,1000,1300
xxrainbowianxx,GOOD,2,OWNER,36,29,SINGLE,FIXED,0,300,850
Court65ney08Ann,GOOD,1,OWNER,36,24,SINGLE,FIXED,0,1000,1602
Swoda11201,BAD,7,RENT,60,25,MARRIED,FIXED,0,1100,1297
kcofficial,BAD,10,OWNER,12,31,MARRIED,FREELANCE,0,225,375
kkube,GOOD,6,OWNER,60,31,MARRIED,FIXED,0,500,1418
jenniferwages,BAD,0,RENT,36,42,SINGLE,PARTTIME,0,800,1165
kietzeruth,BAD,0,OWNER,36,23,SINGLE,PARTTIME,0,1000,1200
TiffTaylorScott,BAD,2,OWNER,36,36,MARRIED,FREELANCE,0,500,715
TKFELICITY,GOOD,4,OWNER,60,26,SINGLE,FREELANCE,0,600,710
NathanButlig,GOOD,20,RENT,60,38,MARRIED,FIXED,0,1150,1450
_HelloYellow_,GOOD,12,OWNER,48,38,WIDOW,FIXED,0,1300,2094
bombayduckling,BAD,7,RENT,60,38,MARRIED,FREELANCE,0,1370,1397
jezebelcapture,GOOD,1,OWNER,60,30,SINGLE,FIXED,0,930,955
lumahsan,GOOD,8,RENT,48,26,MARRIED,FREELANCE,0,1400,1635
princessab11,GOOD,4,OWNER,60,28,WIDOW,FIXED,0,1500,1797
MiniCoster,GOOD,0,RENT,60,25,MARRIED,FIXED,0,870,920
littlemissnicky,BAD,1,OWNER,60,23,MARRIED,PARTTIME,0,1140,1461
swngcoastguard,GOOD,1,OWNER,48,23,SINGLE,FIXED,0,400,1195
bluephuz,GOOD,1,RENT,60,24,MARRIED,FIXED,0,1500,1736
XtremeOutlaw,BAD,5,RENT,60,40,MARRIED,FREELANCE,0,1200,1457
Komakinoo,GOOD,4,RENT,12,21,SINGLE,FIXED,0,400,700
