user,text,date
YoungStew123,Wondering why gamebattles is down ,Mon Apr 06 23:06:27 PDT 2009
sambg7777,@faithgg45  this computer doesn't have shockwave...blah  no account yet,Mon Apr 06 23:11:56 PDT 2009
raciedo,it so tired that im crying for no reason at all. im about to try to get an hour and a half in for tonight. half what i got last night. ,Mon Apr 06 23:22:05 PDT 2009
Kegs1528,looks like i've missed out on yet another job  someone please employ me! Haha,Mon Apr 06 23:42:34 PDT 2009
Kegs1528,I think I'm getting sick ,Mon Apr 20 04:38:09 PDT 2009
Kegs1528,"@CYHSYtheband haha, I promise I won't unfollow you ",Tue Apr 21 02:26:39 PDT 2009
Kegs1528,I think you should all follow @CYHSYtheband ,Tue Apr 21 02:55:53 PDT 2009
Goldae,@AlyssaSpears I'm sorry.   Maybe walking around all goofy at the store would help...HINT HINT! &lt;3,Mon Apr 06 23:46:42 PDT 2009
Goldae,"Getting changed in the hopes that, that means we can go to the store now!  Poor cat is out of food...oops. ",Mon Apr 06 23:54:02 PDT 2009
Goldae,@pilvlp My luck I'd probably get stopped by a cop or something stupid!  ,Tue Apr 07 00:12:27 PDT 2009
Goldae,@pilvlp I don't think I can find a way to convince Mom to drive that far out of her way.   Maybe you should call her and ask!  ,Tue Apr 07 06:33:52 PDT 2009
Goldae,@mileycyrus I love having my feet on the dashboard!  But I guess it is in the line of sight of the person driving. ,Fri May 01 20:25:26 PDT 2009
Goldae,Anyone got a teleporter I could borrow right quick?? Really missin' my Baby hardcore right now.    ,Thu May 28 22:17:15 PDT 2009
Goldae,"Wow, I've been awake 2 hours and haven't accomplished anything. ",Sun May 31 08:35:06 PDT 2009
Goldae,&quot;Up&quot; was cute...the beginning was SOOO sad though. ,Mon Jun 15 21:59:31 PDT 2009
Goldae,"Yes, it was sad throughout it, but the beginning was super sad!  There are sooo many sad animated movies though.   @pilvlp",Mon Jun 15 22:50:44 PDT 2009
Goldae,"@carrieb3ar Awww, I'm sorry hun.   But it could be a good sign!",Tue Jun 16 20:19:49 PDT 2009
Goldae,@notsooglam Sounds like you're having a bad day. ,Fri Jun 19 12:16:39 PDT 2009
Goldae,@Plasterduck I don't wanna do it alone. ,Fri Jun 19 21:04:59 PDT 2009
Goldae,@Plasterduck    Hope nothing happened to them.,Fri Jun 19 21:27:15 PDT 2009
Goldae,I miss my family...guess it's time to try and find a way to get back to them soon.  ,Sat Jun 20 17:46:45 PDT 2009
Goldae,@pilvlp I don't wanna leave you though.   I hate this...I do have to go at some point...I know that...ugh.  I wish you could come with me.,Sat Jun 20 17:59:23 PDT 2009
Goldae,@notsooglam I hate humidity! ,Sat Jun 20 20:09:17 PDT 2009
Goldae,@pilvlp Suck my clit!!!!!   ,Sat Jun 06 16:44:58 PDT 2009
Goldae,@notsooglam At least they make the trouble worth it. ,Sat Jun 06 20:35:01 PDT 2009
Goldae,Watching The Hangover with my Matthew and then sleep...    &lt;333333,Tue Jun 16 03:39:09 PDT 2009
MJSia,Working on the Holy Week ,Mon Apr 06 23:53:24 PDT 2009
SCeCeW,@defsound aawwwww i know what u mean. iv never been that girl with a sense of humor ,Mon Apr 06 23:56:25 PDT 2009
Mylynka,throat is so raw she cannot sleep....  ,Tue Apr 07 00:02:03 PDT 2009
Mylynka,oh no! doggie head cone...   Is she ok?,Tue Jun 16 16:03:00 PDT 2009
Mylynka,decided we are too tired to go out... ordered pizza and gonna play Lego Indiana Jones on the Wii instead!   woo hoo!,Sat Jun 06 17:51:40 PDT 2009
iambuttbot,i have to butting poop again ,Tue Apr 07 00:12:48 PDT 2009
Jurg3ns,pfff i want to go back to bed i feel horrible today ,Tue Apr 07 00:53:20 PDT 2009
marand313,I NEED to post a video!!!!  But I'm stuck...,Tue Apr 07 00:58:04 PDT 2009
marand313,I&quot;m going through with drawl cause I cant post any videos! ,Sun May 17 23:06:35 PDT 2009
even_in_death,money isnt suppose to depress you ,Tue Apr 07 01:08:08 PDT 2009
even_in_death,i think i over react when it comes to money... i really need to stop this obsession with saving it its not healthy ,Tue Apr 07 06:44:03 PDT 2009
even_in_death,bleh i dont wana work today  got one day off again... And they say its suppose to possibly get up in the 80s this week or close to it. ICK,Tue Apr 21 03:24:04 PDT 2009
even_in_death,Off to work now ,Sun May 10 03:48:58 PDT 2009
even_in_death,Freezing.. someone keep me warm  wait nobody is here darn,Fri May 29 22:37:05 PDT 2009
pjaramirez16,dancing with myself.... I'm not Emo!!! Want to write a song.... ,Tue Apr 07 01:12:57 PDT 2009
pjaramirez16,Watching Tonight- JB!! Love those Boys!! ,Sat Apr 18 08:36:48 PDT 2009
pjaramirez16,@iamdiddy love It!! I like the beat  Diddy live &gt; http://bit.ly/BeN2t,Sat Apr 18 23:52:28 PDT 2009
pjaramirez16,Love the Song @TheRealJordin Sang at American Idol... ,Thu May 14 03:31:40 PDT 2009
pjaramirez16,Feeling Skateboarding... But i Don't Know How... LOL ,Thu May 14 08:18:45 PDT 2009
pjaramirez16,Want Make a Sign... WHAT?! WHY?! tweet tweet... ,Mon May 18 06:47:09 PDT 2009
pjaramirez16,http://twitpic.com/5ofvq - This is our backyard before... We Have Chickens...  Whoot!,Thu May 21 23:38:22 PDT 2009
pjaramirez16,@lucyyhale are you and david henrie dating? just want to know... ,Fri May 22 02:21:33 PDT 2009
pjaramirez16,Yoh! Just wrote some album songs... hehe... ,Fri May 22 03:23:24 PDT 2009
pjaramirez16,yehey! done downloading hm movie ost.. ,Fri May 22 04:19:46 PDT 2009
